"SPECIES","STATUS"
"ANDALP","NOT DONE"
"ANDCRA","NOT DONE"
"ANDFRI","NOT DONE"
"ANDHEI","NOT DONE"
"ANDMEG","NOT DONE"
"ANDNIV","NOT DONE"
"ANDROT","NOT DONE"
"ANDRUP","NOT DONE"
"GRIALP","NOT DONE"
"GRIANO","NOT DONE"
"GRICAE","NOT DONE"
"GRICRI","NOT DONE"
"GRIDEC","NOT DONE"
"GRIDIS","NOT DONE"
"GRIELA","NOT DONE"
"GRIFUN","NOT DONE"
"GRIHAR","NOT DONE"
"GRILAE","NOT DONE"
"GRILIS","NOT DONE"
"GRIMER","NOT DONE"
"GRIMON","NOT DONE"
"GRIORB","NOT DONE"
"GRIOVA","NOT DONE"
"GRIPUL","NOT DONE"
"GRIRAM","NOT DONE"
"GRIREF","NOT DONE"
"GRITER","NOT DONE"
"GRITOR","NOT DONE"
"GRITRI","NOT DONE"
"RACAFF","NOT DONE"
"RACAQU","NOT DONE"
"RACCAN","NOT DONE"
"RACELO","NOT DONE"
"RACFAS","NOT DONE"
"RACHET","NOT DONE"
"RACLAN","NOT DONE"
"RACMAC","NOT DONE"
"RACOBT","NOT DONE"
"RACSUD","NOT DONE"
